Price,Close,High,Low,Open,Volume
Ticker,104520.KS,104520.KS,104520.KS,104520.KS,104520.KS
Date,,,,,
2020-08-18,7246.07421875,7516.450122434701,7214.530363320118,7516.450122434701,2178
2020-08-19,7331.693359375,7367.743480379917,7259.593117365166,7309.162033746927,3744
2020-08-20,7061.31787109375,7304.656202324804,7029.774013341576,7268.606079179463,2014
2020-08-21,7160.455078125,7228.049053060101,7092.8611031899,7142.430018142307,1899
2020-08-24,7246.07421875,7246.07421875,7092.861206662003,7160.455182583178,1445
2020-08-25,7372.25,7385.768795843521,7259.59336797066,7313.668551344744,2264
2020-08-26,7358.73095703125,7394.781078069982,7237.061798525528,7372.249752420774,3583
2020-08-27,7259.59375,7367.744122439479,7232.55615689013,7367.744122439479,920
2020-08-28,7309.162109375,7376.756086958616,7273.111987997071,7309.162109375,4301
2020-08-31,7205.51806640625,7412.8062659401385,7201.011801198992,7367.743613867555,3367
2020-09-01,7318.17431640625,7327.186846352563,7232.555281916276,7246.0740768357455,412
2020-09-02,7313.66796875,7345.211823205484,7250.580259839033,7345.211823205484,112
2020-09-03,7358.73095703125,7363.237222161091,7313.668305732834,7358.73095703125,3114
2020-09-04,7232.55517578125,7246.073970502337,7155.94867236176,7155.94867236176,2545
2020-09-07,7259.59375,7259.59375,7201.01229826195,7201.01229826195,612
2020-09-08,7291.13671875,7327.186838496601,7268.605393908375,7286.630453781675,82
2020-09-09,7232.55517578125,7255.086500316394,7191.998791617991,7223.542645967193,878
2020-09-10,7300.14990234375,7304.656167715567,7264.099779369213,7264.099779369213,3232
2020-09-11,7318.17431640625,7318.17431640625,7246.0740768357455,7268.605401701528,617
2020-09-14,7399.28759765625,7417.312658795486,7327.187353099307,7349.718679523352,11572
2020-09-15,7408.30029296875,7448.856681433907,7381.262700658645,7421.819089123803,4061
2020-09-16,7453.3623046875,7466.881099677865,7412.8059197164075,7435.337244700348,3724
2020-09-17,7390.27490234375,7457.868880109089,7345.212250500191,7453.362614924734,1988
2020-09-18,7412.80712890625,7417.313394638108,7372.2507373195285,7412.80712890625,114
2020-09-21,7354.224609375,7471.387501436122,7322.680753820083,7421.818585564109,2378
2020-09-22,7173.9736328125,7336.199167222832,7151.442308588842,7336.199167222832,1329
2020-09-23,7160.455078125,7219.036523068754,7065.82351321586,7178.480138107694,699
2020-09-24,6998.22998046875,7079.342755516037,6984.711184627535,7047.798898553203,2303
2020-09-25,7034.27978515625,7074.836170849015,7016.254724848354,7043.292315310197,185
2020-09-28,7119.89892578125,7142.430251495748,7070.330009209355,7070.330009209355,181
2020-09-29,7187.4931640625,7210.024490595611,7164.9618375293885,7178.480633449255,240
2020-10-05,7291.13671875,7309.1617786233,7187.492624478523,7187.492624478523,990
2020-10-06,7286.630859375,7331.693511566558,7277.618328936688,7322.6809811282465,302
2020-10-07,7327.1875,7327.1875,7210.024600246003,7255.087253997541,2698
2020-10-08,7363.23779296875,7399.2879168021345,7327.1876691353655,7358.731527489577,631
2020-10-12,7403.79296875,7417.311762971698,7381.26164504717,7385.767909787736,85
2020-10-13,7403.79296875,7435.336821933963,7318.173938679245,7435.336821933963,182
2020-10-14,7322.68115234375,7399.287662860577,7282.124764423077,7399.287662860577,2708
2020-10-15,7300.14990234375,7318.174963831018,7259.593513997396,7309.162433087385,195
2020-10-16,7300.14990234375,7318.174963831018,7259.593513997396,7295.643636971933,432
2020-10-19,7331.693359375,7381.262275756761,7304.655768621312,7345.212154751844,697
2020-10-20,7340.7060546875,7363.237380822206,7255.087015375614,7300.149667645028,31704
2020-10-21,7381.2626953125,7399.287756839514,7358.731368403732,7394.781491457761,5732
2020-10-22,7390.27490234375,7399.287432712462,7336.199720131479,7363.237311237614,1161
2020-10-23,7390.27490234375,7412.80622826553,7345.212250500191,7412.80622826553,4192
2020-10-26,7318.17431640625,7421.818410788851,7282.124196620997,7421.818410788851,551
2020-10-27,7268.60595703125,7300.149814253332,7232.555834491727,7246.074630444048,702
2020-10-28,7295.6435546875,7295.6435546875,7228.049574872607,7241.5683708355855,641
2020-10-29,7219.03662109375,7228.049151207475,7142.430115127087,7191.999030752575,743
2020-10-30,7029.77490234375,7187.49421105018,7025.268636380709,7182.987945087139,636
2020-11-02,7146.93701171875,7146.93701171875,7079.343029892911,7088.355560803023,598
2020-11-03,7228.04931640625,7246.0743770456675,7182.986664807708,7182.986664807708,3043
2020-11-04,7277.619140625,7340.706860729489,7237.062749129256,7300.150469233746,372
2020-11-05,7399.28759765625,7399.28759765625,7291.137230820836,7304.656026675262,17197
2020-11-06,7399.28759765625,7444.350250504339,7376.756271232205,7444.350250504339,5045
2020-11-09,7511.94384765625,7543.487703045328,7457.868666989259,7484.906257322754,1698
2020-11-10,7570.52587890625,7597.563471330915,7525.4632248651415,7588.550940522693,6035
2020-11-11,7737.25732421875,7737.25732421875,7606.575633827169,7606.575633827169,1856
2020-11-12,7683.18212890625,7732.751045866936,7665.1570681932735,7714.725985153959,262
2020-11-13,7633.61328125,7665.15713778409,7597.563159496753,7638.1195464691555,15659
2020-11-16,7701.20654296875,7705.712807768615,7665.156424569833,7665.156424569833,2373
2020-11-17,7737.25732421875,7755.2823849624165,7696.700937545501,7732.751059032834,1129
2020-11-18,7786.82568359375,7786.82568359375,7741.763034961842,7759.788094414605,1057
2020-11-19,7768.80078125,7768.80078125,7705.713071889501,7755.281986387035,735
