Price,Close,High,Low,Open,Volume
Ticker,153270.KS,153270.KS,153270.KS,153270.KS,153270.KS
Date,,,,,
2020-08-21,21238.568359375,21480.731089823956,21045.7350740175,21045.7350740175,211
2020-08-24,21453.826171875,21480.733144498587,20929.14020571501,21269.96185894714,451
2020-08-25,21758.771484375,21776.709465813066,21588.360660713366,21637.69010966805,401
2020-08-26,21817.068359375,21852.944319678187,21498.669211684224,21745.316438768627,167
2020-08-27,21637.685546875,21861.910267568004,21543.511164183936,21848.456784326423,171
2020-08-28,21691.501953125,21929.18018415986,21615.265539396834,21740.831397302045,484
2020-08-31,21301.349609375,21933.663355674344,21301.349609375,21933.663355674344,95
2020-09-01,21480.728515625,21489.697504566804,21220.62783631263,21431.39907644507,7643
2020-09-02,21525.57421875,21588.357143554687,21400.008369140625,21583.87264892578,60
2020-09-03,21911.2421875,21960.571631638864,21767.738350005115,21866.397238282847,2305
2020-09-04,21552.48046875,21561.449457709114,21332.740239251718,21395.523161965513,1311
2020-09-07,21664.591796875,21700.467750999404,21525.57247464293,21552.479440236235,83
2020-09-08,21870.884765625,21915.72972105995,21767.741368124614,21893.307243342475,1044
2020-09-09,21695.986328125,21812.583195535346,21552.48249131227,21704.955317925796,129
2020-09-10,21884.3359375,21978.510333952356,21772.223560771006,21978.510333952356,13118
2020-09-11,21879.845703125,21879.845703125,21664.58999626909,21808.093800839695,386
2020-09-14,22153.404296875,22180.31126565663,22014.384958169914,22023.35394776379,305
2020-09-15,22332.787109375,22332.787109375,22086.139862183107,22261.035182919175,274
2020-09-16,22261.03125,22359.690131446412,22135.46540088638,22359.690131446412,556
2020-09-17,21974.025390625,22202.734634486606,21920.211450892857,22198.250139508928,762
2020-09-18,21991.958984375,22086.133360123753,21911.23809087607,22050.25740745756,451
2020-09-21,21848.458984375,22117.5286763008,21767.73807679726,22032.32327385763,1604
2020-09-22,21377.5859375,21835.004390536502,21283.411550110133,21817.06641198605,160
2020-09-23,21422.4296875,21525.573058404858,21059.18564213942,21525.573058404858,3170
2020-09-24,20942.58984375,21220.62850976981,20924.65186529711,21126.45412289213,4129
2020-09-25,21027.79296875,21108.513863063818,20960.525556821816,21081.606898292546,42183
2020-09-28,21292.3828125,21355.165744129106,21139.909978543597,21269.960336918175,1063
2020-09-29,21462.79296875,21565.936353263423,21350.680594278885,21494.184433601913,3074
2020-10-05,21736.34375,21799.12666984733,21417.94465648855,21417.94465648855,432
2020-10-06,21799.12890625,21920.21026409175,21646.65608526409,21772.22193784072,4119
2020-10-07,21991.958984375,21991.958984375,21651.137434046188,21669.075410379282,186
2020-10-08,22014.3828125,22180.309103814423,21951.599891462112,22180.309103814423,2059
2020-10-12,22095.103515625,22148.9174474674,22027.836100822,22068.1965497038,168
2020-10-13,22068.1953125,22247.575075251472,21956.082960780328,22247.575075251472,172
2020-10-14,21933.666015625,22117.530318761503,21888.821063640487,22099.592337967697,63
2020-10-15,21763.251953125,21870.87982184023,21687.015546118382,21870.87982184023,70
2020-10-16,21615.265625,21812.583402489625,21494.184261540457,21749.800473288382,68
2020-10-19,21655.625,21785.675346862707,21646.656010561193,21758.768378546283,50
2020-10-20,21736.34375,21736.34375,21480.727576335878,21579.38645038168,10183
2020-10-21,21839.48828125,21893.302215413245,21745.313896464322,21870.879742845227,51
2020-10-22,21736.34375,21749.79723282443,21601.808921755724,21678.045324427483,91
2020-10-23,21794.646484375,21861.913911795913,21669.08061985597,21812.584465020576,173
2020-10-26,21731.861328125,21884.334148008667,21722.892338720078,21884.334148008667,73
2020-10-27,21606.294921875,21736.345264908286,21543.511997652033,21543.511997652033,56
2020-10-28,21704.94921875,21704.94921875,21458.302068536934,21512.115992219784,1599
2020-10-29,21483.84375,21506.406072778827,21199.55848298677,21416.156781663518,214
2020-10-30,20906.25,21389.08374703216,20906.25,21334.93416792575,299
2020-11-02,21195.046875,21195.046875,20906.249131759632,20955.88624387907,57
2020-11-03,21587.630859375,21596.655788664037,21249.196011036136,21348.470233215536,3976
2020-11-04,21686.90234375,21781.66408932194,21574.09074187864,21632.75277485175,196
2020-11-05,22241.939453125,22241.939453125,21880.942261757584,21880.942261757584,539
2020-11-06,22259.986328125,22458.53475675616,22169.737042383567,22287.06111384743,119
2020-11-09,22499.150390625,22643.549269987212,22472.075600744585,22535.250110465553,234
2020-11-10,22494.638671875,22661.59988167628,22350.239787722545,22661.59988167628,92325
2020-11-11,22860.146484375,22860.146484375,22593.911063416035,22593.911063416035,81926
2020-11-12,22792.458984375,22923.320459438724,22620.98532739495,22810.50884300448,54990
2020-11-13,22995.51953125,22995.51953125,22706.721797733517,22706.721797733517,327
2020-11-16,23509.94140625,23523.478800533827,23112.844507257676,23221.14366152831,109
2020-11-17,23473.841796875,23604.70327555808,23424.204684271073,23546.041233389802,192
2020-11-18,23500.91796875,23582.142339609734,23379.081412460397,23582.142339609734,137
2020-11-19,23514.451171875,23514.451171875,23252.728245763166,23383.589708819083,55
2020-11-20,23527.9921875,23550.554512190738,23424.205493922615,23455.792748489643,147
2020-11-23,24083.021484375,24087.533948584176,23537.013315064643,23537.013315064643,321
2020-11-24,24195.833984375,24322.182986904376,24083.022374973774,24083.022374973774,3664
2020-11-25,24128.1484375,24480.12067952824,24024.36175074808,24277.059770665794,323
2020-11-26,24353.771484375,24353.771484375,23956.674598952544,24110.09839559304,141
2020-11-27,24376.333984375,24416.946166133494,24268.03483301902,24326.696873336845,245
2020-11-30,23916.060546875,24462.06872162441,23916.060546875,24462.06872162441,262
2020-12-01,24367.310546875,24376.335476707176,24146.19976598669,24146.19976598669,239
2020-12-02,24805.017578125,24809.530042665316,24471.095202141507,24471.095202141507,419
2020-12-03,25039.6640625,25039.6640625,24814.040850547397,24944.902313479906,688
2020-12-04,25472.859375,25594.695903454387,25188.57414193977,25188.57414193977,1610
2020-12-07,25626.287109375,25644.336968229993,25364.564155977616,25617.262179947502,1492
