Price,Close,High,Low,Open,Volume
Ticker,458030.KS,458030.KS,458030.KS,458030.KS,458030.KS
Date,,,,,
2023-05-31,50025.0,50025.0,50020.0,50020.0,2778
2023-06-01,50035.0,50040.0,50035.0,50035.0,2225
2023-06-02,50045.0,50045.0,50045.0,50045.0,0
2023-06-05,50050.0,50075.0,50050.0,50055.0,10006
2023-06-07,50070.0,50070.0,50070.0,50070.0,40
2023-06-08,50080.0,50080.0,50080.0,50080.0,20
2023-06-09,50085.0,50085.0,50085.0,50085.0,0
2023-06-12,50095.0,50095.0,50095.0,50095.0,0
2023-06-13,50100.0,50100.0,50100.0,50100.0,0
2023-06-14,50110.0,50110.0,50105.0,50110.0,110
2023-06-15,50115.0,50120.0,50115.0,50120.0,601
2023-06-16,50120.0,50120.0,50120.0,50120.0,100
2023-06-19,50125.0,50125.0,50125.0,50125.0,0
2023-06-20,50135.0,50135.0,50135.0,50135.0,500
2023-06-21,50145.0,50150.0,50145.0,50150.0,10151
2023-06-22,50155.0,50160.0,50155.0,50155.0,302
2023-06-23,50165.0,50170.0,50160.0,50165.0,40002
2023-06-26,50170.0,50180.0,50170.0,50180.0,101
2023-06-27,50175.0,50180.0,50175.0,50175.0,1808
2023-06-28,50180.0,50185.0,50180.0,50185.0,15005
2023-06-29,50190.0,50200.0,50190.0,50195.0,40012
2023-06-30,50195.0,50195.0,50195.0,50195.0,453
2023-07-07,50230.0,50235.0,50230.0,50235.0,45
2023-07-10,50240.0,50240.0,50240.0,50240.0,20
2023-07-14,50260.0,50265.0,50260.0,50265.0,200
2023-07-17,50270.0,50270.0,50270.0,50270.0,0
2023-07-19,50285.0,50290.0,50285.0,50290.0,304
2023-07-20,50300.0,50300.0,50300.0,50300.0,0
2023-07-21,50305.0,50315.0,50305.0,50310.0,1099
2023-07-24,50320.0,50320.0,50320.0,50320.0,1422
2023-07-26,50320.0,50330.0,50320.0,50320.0,754
2023-07-28,50340.0,50340.0,50340.0,50340.0,0
2023-08-03,50370.0,50370.0,50370.0,50370.0,510
2023-08-04,50380.0,50380.0,50370.0,50370.0,2450
2023-08-07,50390.0,50390.0,50385.0,50390.0,605
2023-08-08,50390.0,50395.0,50390.0,50390.0,1786
2023-08-09,50395.0,50400.0,50395.0,50395.0,878
2023-08-10,50405.0,50415.0,50405.0,50415.0,2
2023-08-11,50435.0,50435.0,50410.0,50410.0,3001
2023-08-14,50425.0,50425.0,50425.0,50425.0,1200
2023-08-16,50440.0,50440.0,50430.0,50440.0,25
2023-08-17,50445.0,50455.0,50445.0,50445.0,2010
2023-08-18,50450.0,50460.0,50450.0,50460.0,603
2023-08-21,50450.0,50460.0,50450.0,50460.0,9
2023-08-22,50470.0,50470.0,50470.0,50470.0,5
2023-08-23,50475.0,50475.0,50470.0,50475.0,5
2023-08-24,50490.0,50490.0,50480.0,50490.0,51375
2023-08-25,50495.0,50495.0,50495.0,50495.0,4
2023-08-28,50490.0,50500.0,50490.0,50500.0,949
2023-08-29,50495.0,50500.0,50495.0,50495.0,291
2023-08-30,50495.0,50505.0,50495.0,50505.0,58
2023-08-31,50515.0,50525.0,50510.0,50510.0,503
2023-09-01,50520.0,50520.0,50520.0,50520.0,300
2023-09-04,50525.0,50530.0,50525.0,50530.0,9
2023-09-05,50535.0,50535.0,50535.0,50535.0,57
2023-09-06,50530.0,50540.0,50530.0,50540.0,9
2023-09-07,50540.0,50555.0,50540.0,50555.0,1009
2023-09-08,50545.0,50545.0,50545.0,50545.0,3
2023-09-11,50555.0,50555.0,50555.0,50555.0,2500
2023-09-12,50560.0,50570.0,50560.0,50565.0,774
2023-09-13,50565.0,50575.0,50565.0,50575.0,2842
2023-09-14,50575.0,50590.0,50570.0,50590.0,4159
2023-09-15,50580.0,50580.0,50580.0,50580.0,2210
2023-09-18,50595.0,50595.0,50585.0,50585.0,13
2023-09-19,50600.0,50600.0,50600.0,50600.0,176
2023-09-20,50590.0,50605.0,50590.0,50605.0,4
2023-09-21,50615.0,50615.0,50605.0,50605.0,224
2023-09-22,50625.0,50630.0,50625.0,50625.0,11
2023-09-25,50615.0,50615.0,50615.0,50615.0,14
2023-09-26,50665.0,50665.0,50665.0,50665.0,34
2023-09-27,50665.0,50665.0,50655.0,50655.0,10
2023-10-04,50665.0,50680.0,50665.0,50680.0,924
2023-10-05,50680.0,50690.0,50680.0,50680.0,179
2023-10-06,50690.0,50695.0,50690.0,50695.0,27
2023-10-10,50695.0,50695.0,50695.0,50695.0,10
2023-10-11,50715.0,50715.0,50700.0,50715.0,849
2023-10-12,50725.0,50725.0,50715.0,50715.0,373
2023-10-13,50725.0,50725.0,50725.0,50725.0,1
2023-10-16,50730.0,50740.0,50730.0,50740.0,14
2023-10-17,50735.0,50745.0,50735.0,50745.0,18
2023-10-18,50740.0,50750.0,50740.0,50750.0,27
2023-10-19,50765.0,50765.0,50755.0,50755.0,2955
2023-10-20,50765.0,50765.0,50760.0,50760.0,1509
2023-10-23,50770.0,50770.0,50770.0,50770.0,0
2023-10-24,50775.0,50780.0,50775.0,50780.0,73
2023-10-25,50780.0,50790.0,50780.0,50790.0,4
2023-10-26,50790.0,50795.0,50790.0,50795.0,2054
2023-10-27,50795.0,50795.0,50795.0,50795.0,950
2023-10-30,50805.0,50805.0,50805.0,50805.0,814
2023-10-31,50810.0,50810.0,50810.0,50810.0,0
2023-11-01,50815.0,50825.0,50815.0,50825.0,44
2023-11-02,50830.0,50835.0,50830.0,50830.0,3502
2023-11-03,50845.0,50845.0,50835.0,50845.0,839
2023-11-06,50855.0,50855.0,50845.0,50850.0,1061
2023-11-07,50860.0,50860.0,50855.0,50860.0,52
2023-11-08,50870.0,50870.0,50860.0,50865.0,2004
2023-11-09,50875.0,50875.0,50875.0,50875.0,111
2023-11-10,50885.0,50885.0,50885.0,50885.0,33
2023-11-13,50885.0,50895.0,50885.0,50895.0,2
2023-11-14,50890.0,50900.0,50890.0,50890.0,453
2023-11-15,50900.0,50910.0,50900.0,50910.0,363
2023-11-16,50920.0,50920.0,50920.0,50920.0,15
2023-11-17,50925.0,50925.0,50925.0,50925.0,0
2023-11-20,50935.0,50945.0,50935.0,50945.0,1128
2023-11-21,50955.0,50955.0,50955.0,50955.0,192
2023-11-22,50950.0,50960.0,50950.0,50960.0,761
2023-11-23,50965.0,50965.0,50965.0,50965.0,40
2023-11-24,50985.0,50985.0,50970.0,50970.0,349
2023-11-27,50995.0,50995.0,50995.0,50995.0,295
2023-11-28,51000.0,51000.0,51000.0,51000.0,119
2023-11-29,50995.0,51005.0,50995.0,51005.0,106
2023-11-30,51015.0,51015.0,51015.0,51015.0,326
2023-12-01,51025.0,51025.0,51015.0,51025.0,3
2023-12-04,51025.0,51035.0,51025.0,51035.0,10
2023-12-05,51040.0,51040.0,51040.0,51040.0,1401
2023-12-06,51040.0,51045.0,51040.0,51040.0,935
2023-12-07,51045.0,51050.0,51045.0,51050.0,250
2023-12-08,51055.0,51060.0,51055.0,51055.0,18906
2023-12-11,51075.0,51075.0,51070.0,51070.0,838
2023-12-12,51075.0,51080.0,51070.0,51080.0,1047
2023-12-13,51080.0,51085.0,51080.0,51085.0,277
2023-12-14,51085.0,51100.0,51085.0,51100.0,5322
2023-12-15,51115.0,51115.0,51105.0,51105.0,162
2023-12-18,51115.0,51120.0,51115.0,51120.0,842
2023-12-19,51125.0,51130.0,51125.0,51130.0,964
2023-12-20,51135.0,51135.0,51125.0,51135.0,49
2023-12-21,51150.0,51150.0,51140.0,51140.0,2573
2023-12-22,51145.0,51155.0,51145.0,51155.0,82
2023-12-26,51170.0,51170.0,51160.0,51170.0,8
2023-12-27,51185.0,51185.0,51175.0,51175.0,6296
2023-12-28,51195.0,51195.0,51185.0,51195.0,16738
2024-01-02,51210.0,51210.0,51200.0,51210.0,375
2024-01-03,51210.0,51215.0,51205.0,51215.0,372
2024-01-04,51220.0,51230.0,51220.0,51230.0,1185
2024-01-05,51240.0,51240.0,51230.0,51230.0,17
2024-01-08,51250.0,51250.0,51245.0,51250.0,1770
2024-01-09,51250.0,51260.0,51250.0,51260.0,428
2024-01-10,51265.0,51265.0,51260.0,51265.0,23
2024-01-11,51280.0,51280.0,51270.0,51270.0,154
2024-01-12,51290.0,51290.0,51280.0,51280.0,879
2024-01-15,51290.0,51300.0,51290.0,51300.0,7
2024-01-16,51305.0,51305.0,51305.0,51305.0,10
2024-01-17,51315.0,51315.0,51305.0,51315.0,661
2024-01-19,51320.0,51330.0,51320.0,51320.0,81
2024-01-22,51325.0,51325.0,51325.0,51325.0,902
2024-01-23,51340.0,51340.0,51340.0,51340.0,215
2024-01-24,51335.0,51345.0,51335.0,51345.0,1866
2024-01-25,51345.0,51355.0,51345.0,51345.0,353
2024-01-26,51360.0,51360.0,51350.0,51350.0,55
2024-01-29,51370.0,51370.0,51365.0,51370.0,18
2024-01-30,51375.0,51375.0,51365.0,51365.0,393
2024-01-31,51385.0,51385.0,51370.0,51385.0,1612
2024-02-01,51385.0,51385.0,51385.0,51385.0,29
2024-02-02,51400.0,51400.0,51390.0,51390.0,732
2024-02-05,51400.0,51405.0,51395.0,51405.0,175
2024-02-06,51400.0,51410.0,51400.0,51410.0,399
2024-02-07,51425.0,51430.0,51420.0,51420.0,1081
2024-02-08,51435.0,51435.0,51425.0,51430.0,2132
2024-02-13,51445.0,51445.0,51435.0,51445.0,291
2024-02-14,51445.0,51450.0,51440.0,51450.0,54
2024-02-15,51460.0,51460.0,51460.0,51460.0,3889
2024-02-16,51465.0,51465.0,51455.0,51455.0,3539
2024-02-19,51465.0,51475.0,51465.0,51470.0,5720
2024-02-20,51480.0,51480.0,51470.0,51480.0,3520
2024-02-21,51485.0,51485.0,51475.0,51475.0,3487
2024-02-22,51495.0,51495.0,51485.0,51495.0,3535
2024-02-23,51495.0,51500.0,51490.0,51495.0,8055
2024-02-26,51495.0,51510.0,51495.0,51495.0,3193
2024-02-27,51510.0,51510.0,51500.0,51510.0,3659
2024-02-28,51520.0,51525.0,51520.0,51525.0,2342
2024-02-29,51535.0,51535.0,51520.0,51535.0,3275
2024-03-04,51545.0,51545.0,51535.0,51545.0,7180
2024-03-05,51545.0,51550.0,51540.0,51550.0,3392
2024-03-06,51545.0,51555.0,51545.0,51555.0,14690
2024-03-07,51565.0,51570.0,51555.0,51570.0,22208
2024-03-08,51565.0,51575.0,51565.0,51575.0,21614
2024-03-11,51570.0,51580.0,51570.0,51580.0,16701
2024-03-12,51575.0,51585.0,51575.0,51575.0,13351
2024-03-13,51585.0,51595.0,51585.0,51590.0,23464
2024-03-14,51595.0,51605.0,51595.0,51605.0,23218
2024-03-15,51610.0,51610.0,51600.0,51600.0,19717
2024-03-18,51620.0,51620.0,51620.0,51620.0,2
2024-03-19,51615.0,51625.0,51615.0,51625.0,60
2024-03-20,51620.0,51630.0,51620.0,51620.0,25
2024-03-21,51630.0,51645.0,51630.0,51645.0,26
2024-03-22,51635.0,51645.0,51635.0,51645.0,55
2024-03-25,51650.0,51650.0,51645.0,51645.0,5941
2024-03-26,51660.0,51660.0,51650.0,51660.0,241
