Price,Close,High,Low,Open,Volume
Ticker,444490.KS,444490.KS,444490.KS,444490.KS,444490.KS
Date,,,,,
2022-10-06,9830.0,9960.0,9805.0,9960.0,8694
2022-10-07,9720.0,9900.0,9700.0,9900.0,7353
2022-10-11,9440.0,9545.0,9440.0,9545.0,124
2022-10-12,9455.0,9535.0,9455.0,9535.0,46
2022-10-13,9425.0,9450.0,9425.0,9450.0,36
2022-10-14,9745.0,9755.0,9625.0,9705.0,5001
2022-10-17,9575.0,9580.0,9565.0,9580.0,610
2022-10-18,9825.0,9865.0,9710.0,9750.0,3118
2022-10-19,9870.0,9880.0,9745.0,9880.0,5626
2022-10-20,9620.0,9735.0,9620.0,9730.0,1856
2022-10-21,9620.0,9700.0,9470.0,9470.0,16238
2022-10-24,9990.0,10025.0,9855.0,9855.0,15175
2022-10-25,10050.0,10090.0,10010.0,10010.0,12417
2022-10-26,9940.0,10095.0,9910.0,10000.0,10402
2022-10-27,9980.0,10030.0,9980.0,9995.0,13434
2022-10-28,9865.0,9955.0,9855.0,9930.0,11535
2022-10-31,10145.0,10200.0,10120.0,10120.0,12789
2022-11-01,10165.0,10200.0,10155.0,10195.0,10772
2022-11-02,10095.0,10135.0,10025.0,10130.0,10358
2022-11-03,9900.0,10000.0,9855.0,10000.0,14456
2022-11-04,9740.0,9830.0,9730.0,9830.0,12806
2022-11-07,9740.0,9775.0,9730.0,9775.0,17884
2022-11-08,9750.0,9830.0,9745.0,9830.0,16114
2022-11-09,9660.0,9775.0,9655.0,9775.0,15586
2022-11-10,9480.0,9505.0,9390.0,9505.0,18773
2022-11-11,9740.0,9820.0,9710.0,9810.0,20348
2022-11-14,9770.0,9815.0,9670.0,9735.0,21217
2022-11-15,9720.0,9730.0,9680.0,9710.0,18268
2022-11-16,9685.0,9800.0,9680.0,9710.0,17603
2022-11-17,9795.0,9815.0,9720.0,9755.0,17317
2022-11-18,9745.0,9765.0,9690.0,9755.0,17169
2022-11-21,9845.0,9915.0,9805.0,9815.0,14682
2022-11-22,9815.0,9935.0,9795.0,9935.0,17805
2022-11-23,9900.0,10025.0,9900.0,10025.0,17893
2022-11-24,9895.0,10000.0,9885.0,10000.0,13670
2022-11-25,9830.0,9920.0,9780.0,9920.0,13977
2022-11-28,9885.0,9915.0,9810.0,9915.0,20574
2022-11-29,9730.0,9815.0,9690.0,9815.0,13683
2022-11-30,9645.0,9730.0,9620.0,9730.0,20189
2022-12-01,9780.0,9790.0,9705.0,9705.0,75
2022-12-02,9755.0,9775.0,9690.0,9775.0,75
2022-12-05,9725.0,9755.0,9725.0,9755.0,41
2022-12-06,9660.0,9660.0,9615.0,9645.0,271
2022-12-07,9560.0,9595.0,9560.0,9595.0,160
2022-12-08,9610.0,9610.0,9610.0,9610.0,1
2022-12-09,9545.0,9615.0,9535.0,9615.0,304
2022-12-12,9495.0,9495.0,9430.0,9495.0,156
2022-12-13,9625.0,9625.0,9525.0,9525.0,69
2022-12-14,9640.0,9645.0,9640.0,9645.0,4
2022-12-15,9640.0,9640.0,9635.0,9640.0,73
2022-12-16,9395.0,9425.0,9390.0,9425.0,948
2022-12-19,9295.0,9335.0,9295.0,9335.0,57
2022-12-20,9065.0,9235.0,9065.0,9225.0,893
2022-12-21,9135.0,9145.0,9130.0,9145.0,105
2022-12-22,9160.0,9210.0,9135.0,9140.0,86
