Date,Close
20211125,1.042
20211126,1.041
20211129,1.039
20211130,1.062
20211201,1.012
20211202,0.868
20211203,0.824
20211206,0.828
20211207,1.018
20211208,1.019
20211209,1.124
20211210,1.107
20211213,1.041
20211214,1.01
20211215,0.99
20211216,0.984
20211217,1.039
20211220,1.039
20211221,1.039
20211222,1.012
20211223,1.012
20211224,1.06
20211227,1.087
20211228,1.105
20211229,1.131
20211230,1.148
20211231,2.006
20220103,1.09
20220104,1.003
20220105,1.002
20220106,1.062
20220107,1.109
20220110,1.106
20220111,1.077
20220112,1.107
20220113,1.109
20220114,1.356
20220117,1.306
20220118,1.356
20220119,1.387
20220120,1.507
20220121,1.857
20220124,1.384
20220125,1.401
20220126,1.33
20220127,1.205
20220128,1.198
20220203,1.162
20220204,1.111
20220207,0.987
20220208,1.063
20220209,1.062
20220210,1.098
20220211,1.226
20220214,1.192
20220215,1.191
20220216,1.126
20220217,1.127
20220218,1.136
20220221,1.223
20220222,1.267
20220223,1.269
20220224,1.297
20220225,1.336
20220228,1.512
20220302,1.401
20220303,1.251
20220304,1.053
20220307,1.324
20220308,1.323
20220310,1.33
20220311,1.361
20220314,1.308
20220315,1.285
20220316,1.283
20220317,1.207
20220318,1.281
20220321,1.282
20220322,1.257
20220323,1.222
20220324,1.187
20220325,1.19
20220328,1.189
20220329,1.163
20220330,1.124
20220331,1.411
20220401,1.127
20220404,1.148
20220405,1.268
20220406,1.268
20220407,1.118
20220408,1.058
20220411,1.06
20220412,1.057
20220413,1.033
20220414,1.275
20220415,1.476
20220418,1.45
20220419,1.381
20220420,1.38
20220421,1.336
20220422,1.391
20220425,1.442
20220426,1.434
20220427,1.316
20220428,1.275
20220429,1.52
20220502,1.479
20220503,1.312
20220504,1.297
20220506,1.299
20220509,1.253
20220510,1.31
20220511,1.308
20220512,1.268
20220513,1.268
20220516,1.267
20220517,1.394
20220518,1.395
20220519,1.488
20220520,1.566
20220523,1.577
20220524,1.502
20220525,1.551
20220526,1.799
20220527,1.775
20220530,1.759
20220531,1.901
20220602,1.728
20220603,1.485
20220607,1.549
20220608,1.539
20220609,1.868
20220610,1.843
20220613,1.775
20220614,1.716
20220615,1.716
20220616,1.757
20220617,1.757
20220620,1.73
20220621,1.718
20220622,1.723
20220623,1.738
20220624,1.863
20220627,1.888
20220628,1.885
20220629,1.883
20220630,2.72
20220701,1.727
20220704,1.484
20220705,1.787
20220706,1.787
20220707,1.707
20220708,1.684
20220711,1.844
20220712,1.884
20220713,2.164
20220714,2.176
20220715,2.13
20220718,2.138
20220719,2.185
20220720,2.14
20220721,2.27
20220722,2.228
20220725,2.255
20220726,2.237
20220727,2.138
20220728,2.119
20220729,2.368
20220801,2.298
20220802,2.226
20220803,2.175
20220804,2.16
20220805,2.183
20220808,2.238
20220809,2.253
20220810,2.252
20220811,2.296
20220812,2.235
20220816,2.209
20220817,2.185
20220818,2.192
20220819,2.253
20220822,2.285
20220823,2.248
20220824,2.286
20220825,2.543
20220826,2.474
20220829,2.426
20220830,2.438
20220831,2.609
20220901,2.486
20220902,2.43
20220905,2.404
20220906,2.431
20220907,2.43
20220908,2.624
20220913,2.55
20220914,2.527
20220915,2.504
20220916,2.496
20220919,2.481
20220920,2.482
20220921,2.507
20220922,2.525
20220923,2.568
20220926,2.567
20220927,2.564
20220928,2.573
20220929,2.594
20220930,2.744
20221004,2.666
20221005,2.679
20221006,2.591
20221007,2.654
20221011,2.727
20221012,3.108
20221013,3.107
20221014,3.018
20221017,3.048
20221018,3.047
20221019,3.073
20221020,3.109
20221021,3.106
20221024,3.108
20221025,3.123
20221026,3.124
20221027,3.021
20221028,3.004
20221031,3.047
20221101,3.019
20221102,2.894
20221103,2.889
20221104,2.847
20221107,2.857
20221108,2.885
20221109,2.884
20221110,3.108
20221111,3.108
20221114,3.039
20221115,3.057
20221116,3.038
20221117,3.04
20221118,3.038
20221121,3.058
20221122,3.075
20221123,3.074
20221124,3.257
20221125,3.216
20221128,3.191
20221129,3.152
20221130,3.155
20221201,3.137
20221202,3.046
20221205,3.016
20221206,3.061
20221207,3.06
20221208,3.298
20221209,3.295
20221212,3.274
20221213,3.25
20221214,3.231
20221215,3.179
20221216,3.139
20221219,3.134
20221220,3.139
20221221,3.129
20221222,3.128
20221223,3.154
20221226,3.153
20221227,3.153
20221228,3.16
20221229,3.209
20221230,3.479
20230102,3.189
20230103,2.981
20230104,2.954
20230105,2.925
20230106,2.929
20230109,2.926
20230110,3.0
20230111,3.0
20230112,3.259
20230113,3.468
20230116,3.424
20230117,3.418
20230118,3.378
20230119,3.385
20230120,3.508
20230125,3.481
20230126,3.476
20230127,3.373
20230130,3.17
20230131,3.176
20230201,3.309
20230202,3.208
20230203,3.35
20230206,3.348
20230207,3.573
20230208,3.573
20230209,3.424
20230210,3.433
20230213,3.438
20230214,3.394
20230215,3.393
20230216,3.388
20230217,3.393
20230220,3.395
20230221,3.392
20230222,3.393
20230223,3.439
20230224,3.441
20230227,3.397
20230228,3.402
20230302,3.348
20230303,3.354
20230306,3.243
20230307,3.376
20230308,3.376
20230309,3.552
20230310,3.442
20230313,3.4
20230314,3.404
20230315,3.393
20230316,3.387
20230317,3.383
20230320,3.387
20230321,3.389
20230322,3.381
20230323,3.397
20230324,3.39
20230327,3.387
20230328,3.341
20230329,3.353
20230330,3.356
20230331,3.599
20230403,3.485
20230404,3.42
20230405,3.419
20230406,3.344
20230407,3.303
20230410,3.312
20230411,3.313
20230412,3.313
20230413,3.308
20230414,3.439
20230417,3.437
20230418,3.39
20230419,3.31
20230420,3.32
20230421,3.486
20230424,3.525
20230425,3.541
20230426,3.504
20230427,3.503
20230428,3.567
20230502,3.507
20230503,3.549
20230504,3.526
20230508,3.594
20230509,3.969
20230510,3.967
20230511,3.595
20230512,3.569
20230515,3.587
20230516,3.629
20230517,3.611
20230518,3.657
20230519,3.653
20230522,3.609
20230523,3.593
20230524,3.593
20230525,3.636
20230526,3.582
20230530,3.529
20230531,3.595
20230601,3.528
20230602,3.522
20230605,3.53
20230607,3.53
20230608,3.595
20230609,3.612
20230612,3.586
20230613,3.551
20230614,3.55
20230615,3.585
20230616,3.61
20230619,3.61
20230620,3.586
20230621,3.604
20230622,3.58
20230623,3.619
20230626,3.6
20230627,3.532
20230628,3.501
20230629,3.523
20230630,3.841
20230703,3.516
20230704,3.523
20230705,3.521
20230706,3.528
20230707,3.584
20230710,3.597
20230711,3.577
20230712,3.523
20230713,3.549
20230714,3.508
20230717,3.508
20230718,3.5
20230719,3.5
20230720,3.55
20230721,3.534
20230724,3.479
20230725,3.485
20230726,3.465
20230727,3.449
20230728,3.456
20230731,3.511
20230801,3.466
20230802,3.447
20230803,3.443
20230804,3.472
20230807,3.535
20230808,3.542
20230809,3.541
20230810,3.604
20230811,3.606
20230814,3.597
20230816,3.594
20230817,3.576
20230818,3.576
20230821,3.55
20230822,3.55
20230823,3.577
20230824,3.593
20230825,3.593
20230828,3.592
20230829,3.591
20230830,3.594
20230831,3.617
20230901,3.611
20230904,3.544
20230905,3.534
20230906,3.534
20230907,3.526
20230908,3.625
20230911,3.624
20230912,3.631
20230913,3.624
20230914,3.62
20230915,3.621
20230918,3.601
20230919,3.619
20230920,3.619
20230921,3.625
20230922,3.662
20230925,3.622
20230926,3.672
20230927,4.019
20231004,3.62
20231005,3.535
20231006,3.471
20231010,3.467
20231011,3.467
20231012,3.46
20231013,3.551
20231016,3.506
20231017,3.49
20231018,3.463
20231019,3.466
20231020,3.492
20231023,3.526
20231024,3.525
20231025,3.569
20231026,3.57
20231027,3.44
20231030,3.443
20231031,3.544
20231101,3.482
20231102,3.437
20231103,3.437
20231106,3.464
20231107,3.52
20231108,3.52
20231109,3.569
20231110,3.596
20231113,3.613
20231114,3.611
20231115,3.569
20231116,3.617
20231117,3.639
20231120,3.612
20231121,3.613
20231122,3.639
20231123,3.638
20231124,3.637
20231127,3.636
20231128,3.62
20231129,3.611
20231130,3.657
20231201,3.61
20231204,3.585
20231205,3.594
20231206,3.592
20231207,3.587
20231208,3.685
20231211,3.756
20231212,3.701
20231213,3.715
20231214,3.732
20231215,3.735
20231218,3.751
20231219,3.747
20231220,3.699
20231221,3.618
20231222,3.629
20231226,3.609
20231227,3.596
20231228,3.594
20231229,3.865
20240102,3.604
20240103,3.471
20240104,3.405
20240105,3.403
20240108,3.41
20240109,3.528
20240110,3.528
20240111,3.479
20240112,3.455
20240115,3.453
20240116,3.504
20240117,3.503
20240118,3.505
20240119,3.569
20240122,3.587
20240123,3.543
20240124,3.469
20240125,3.474
20240126,3.48
20240129,3.451
20240130,3.565
20240131,3.613
20240201,3.593
20240202,3.54
20240205,3.612
20240206,3.616
20240207,3.616
20240208,3.652
20240213,3.644
20240214,3.668
20240215,3.666
20240216,3.713
20240219,3.707
20240220,3.671
20240221,3.651
20240222,3.707
20240223,3.784
20240226,3.66
20240227,3.555
20240228,3.43
20240229,3.437
20240304,3.42
