Date,Close
20000104,593.95
20000105,592.59
20000106,596.19
20000107,600.93
20000108,602.85
20000110,603.49
20000111,595.13
20000112,600.83
20000113,604.4
20000114,597.27
20000115,583.89
20000117,583.34
20000118,580.89
20000119,583.46
20000120,584.47
20000121,588.44
20000122,581.41
20000124,578.43
20000125,579.68
20000126,576.47
20000127,576.35
20000128,569.06
20000129,559.32
20000131,560.93
20000201,559.01
20000202,558.84
20000203,565.08
20000207,567.03
20000208,566.11
20000209,569.72
20000210,571.57
20000211,565.13
20000212,563.59
20000214,563.7
20000215,560.19
20000216,565.68
20000217,567.47
20000218,569.25
20000219,569.51
20000221,569.4
20000222,571.91
20000223,582.68
20000224,581.39
20000225,577.93
20000226,568.28
20000228,568.16
20000229,560.42
20000302,561.62
20000303,553.22
20000304,549.89
20000306,548.41
20000307,548.62
20000308,547.9
20000309,551.97
20000310,553.79
20000311,551.43
20000313,551.06
20000314,552.4
20000315,554.6
20000316,551.73
20000317,555.02
20000318,555.72
20000320,555.18
20000321,556.33
20000322,547.8
20000323,547.75
20000324,552.52
20000325,553.89
20000327,553.29
20000328,548.57
20000329,542.64
20000330,541.86
20000331,544.76
20000401,540.66
20000403,541.37
20000404,542.81
20000406,546.83
20000407,544.93
20000408,541.35
20000410,541.35
20000411,545.0
20000412,544.09
20000414,540.46
20000415,545.49
20000417,547.62
20000418,540.32
20000419,536.85
20000420,532.97
20000421,532.43
20000422,532.03
20000424,531.46
20000425,532.15
20000426,522.32
20000427,523.3
20000428,517.44
20000429,517.34
20000502,519.92
20000503,516.65
20000504,507.56
20000506,510.11
20000508,510.62
20000509,510.06
20000510,514.74
20000512,511.24
20000513,522.28
20000515,521.95
20000516,517.25
20000517,512.98
20000518,510.17
20000519,511.53
20000520,515.82
20000522,516.02
20000523,519.73
20000524,524.86
20000525,525.33
20000526,526.9
20000527,540.87
20000529,541.3
20000530,540.25
20000531,538.72
20000601,541.13
20000602,538.97
20000603,543.78
20000605,544.18
20000607,546.52
20000608,546.99
20000609,544.05
20000610,543.67
20000612,543.13
20000613,542.63
20000614,546.47
20000615,545.9
20000616,543.33
20000617,550.65
20000619,550.59
20000620,547.91
20000621,546.32
20000622,540.37
20000623,536.4
20000624,536.14
20000626,535.85
20000627,535.09
20000628,540.65
20000629,538.59
20000630,542.69
20000701,543.8
20000703,543.21
20000704,541.0
20000705,542.02
20000706,543.87
20000707,543.6
20000708,541.3
20000710,541.93
20000711,545.73
20000712,543.53
20000713,536.65
20000714,533.01
20000715,533.75
20000718,532.24
20000719,526.17
20000720,527.1
20000721,530.06
20000722,532.31
20000724,532.31
20000725,530.73
20000726,535.27
20000727,538.15
20000728,531.54
20000729,527.19
20000731,527.16
20000801,529.59
20000802,522.37
20000803,521.99
20000804,516.67
20000805,517.87
20000807,517.64
20000808,518.0
20000809,515.33
20000810,513.85
20000811,517.11
20000812,514.87
20000814,514.87
20000816,520.1
20000817,521.97
20000818,522.53
20000819,516.56
20000821,517.05
20000822,514.27
20000823,511.16
20000824,513.86
20000825,513.57
20000826,514.08
20000828,514.42
20000829,512.3
20000830,507.07
20000831,507.34
20000901,504.89
20000902,509.34
20000904,509.2
20000905,507.18
20000906,502.28
20000907,493.35
20000908,494.53
20000909,491.99
20000914,487.26
20000915,492.47
20000916,487.64
20000918,487.52
20000919,493.84
20000920,491.22
20000921,487.04
20000922,496.87
20000923,508.05
20000925,509.96
20000926,503.22
20000927,506.13
20000928,503.75
20000929,502.97
20000930,503.02
20001002,503.79
20001004,499.94
20001005,501.28
20001006,496.67
20001007,495.85
20001009,495.88
20001010,495.41
20001011,498.63
20001012,497.52
20001013,494.89
20001014,492.7
20001016,492.9
20001017,489.49
20001018,493.67
20001019,489.36
20001020,492.25
20001021,485.61
20001023,485.09
20001024,484.95
20001025,485.59
20001026,481.43
20001027,484.03
20001028,486.53
20001030,487.11
20001031,487.94
20001101,495.12
20001102,499.52
20001103,497.55
20001104,502.01
20001106,501.89
20001107,499.62
20001108,499.33
20001109,497.26
20001110,502.69
20001111,498.0
20001113,499.46
20001114,499.07
20001115,498.29
20001116,497.67
20001117,496.46
20001118,495.06
20001120,495.0
20001121,499.44
20001122,503.0
20001123,504.45
20001124,508.43
20001125,512.28
20001127,513.05
20001128,517.24
20001129,519.09
20001130,523.94
20001201,540.35
20001202,544.39
20001204,544.33
20001205,549.23
20001206,544.95
20001207,544.15
20001208,546.72
20001209,540.22
20001211,536.69
20001212,531.73
20001213,534.04
20001214,537.06
20001215,547.67
20001216,551.49
20001218,550.94
20001219,552.13
20001220,552.24
20001221,564.43
20001222,573.58
20001223,581.58
20001226,583.12
20001227,593.79
20001228,603.51
20001229,594.91
20001230,607.04
20010102,606.08
20010103,616.36
20010104,610.09
20010105,608.9
20010106,620.93
20010108,621.25
20010109,611.86
20010110,607.1
20010111,604.31
20010112,620.86
20010113,623.69
20010115,622.87
20010116,619.76
20010117,618.91
20010118,610.87
20010119,620.25
20010120,609.52
20010122,610.44
20010126,600.9
20010127,602.2
20010129,602.33
20010130,600.52
20010131,599.58
20010201,604.17
20010202,603.82
20010203,599.35
20010205,599.6
20010206,603.39
20010207,598.31
20010208,600.01
20010209,596.18
20010210,595.82
20010212,596.69
20010213,602.86
20010214,591.09
20010215,587.66
20010216,577.19
20010217,580.31
20010219,579.87
20010220,587.78
20010221,578.7
20010222,574.85
20010223,575.73
20010224,584.28
20010226,584.63
20010227,580.06
20010228,584.94
20010302,595.17
20010303,603.25
20010305,603.18
20010306,603.82
20010307,604.36
20010308,603.13
20010309,608.11
20010310,604.39
20010312,603.77
20010313,607.73
20010314,598.36
20010315,594.07
20010316,591.04
20010317,592.56
20010319,592.5
20010320,596.94
20010321,603.65
20010322,596.85
20010323,596.81
20010324,598.05
20010326,597.82
20010327,602.32
20010328,597.25
20010329,590.7
20010330,592.8
20010331,597.04
20010402,594.49
20010403,604.7
20010404,617.55
20010406,619.25
20010407,622.5
20010409,621.99
20010410,613.4
20010411,608.19
20010412,600.45
20010413,604.68
20010414,600.86
20010416,601.5
20010417,605.14
20010418,597.77
20010419,593.6
20010420,595.91
20010421,603.92
20010423,604.18
20010424,603.04
20010425,599.37
20010426,601.78
20010427,604.63
20010428,603.34
20010430,603.31
20010502,603.16
20010503,597.58
20010504,589.86
20010507,590.44
20010508,593.4
20010509,587.12
20010510,590.57
20010511,588.81
